2019-03-08 20:02:04,048:INFO:Begin running with train_and_evaluate mode
2019-03-08 20:03:50,512:INFO:Begin running with train_and_evaluate mode
2019-03-08 20:05:00,060:INFO:Begin running with train_and_evaluate mode
2019-03-08 20:08:14,915:INFO:Begin running with train_and_evaluate mode
2019-03-08 20:12:42,894:INFO:Begin running with train_and_evaluate mode
2019-03-08 20:22:29,211:INFO:Begin running with train_and_evaluate mode
2020-05-11 14:06:00,431:INFO:step: 225, loss: 7.6532
2020-05-11 14:06:09,635:INFO:step: 226, loss: 6.9147
2020-05-11 14:06:19,008:INFO:step: 227, loss: 6.9940
2020-05-11 14:06:28,210:INFO:step: 228, loss: 7.6114
2020-05-11 14:06:37,331:INFO:step: 229, loss: 6.8519
2020-05-11 14:06:46,421:INFO:step: 230, loss: 6.8195
2020-05-11 14:06:55,383:INFO:step: 231, loss: 7.3489
2020-05-11 14:07:04,341:INFO:step: 232, loss: 7.2097
2020-05-11 14:07:13,311:INFO:step: 233, loss: 6.8774
2020-05-11 14:07:22,534:INFO:step: 234, loss: 7.6100
2020-05-11 14:07:31,525:INFO:step: 235, loss: 7.5607
2020-05-11 14:07:40,645:INFO:step: 236, loss: 7.1832
2020-05-11 14:07:49,970:INFO:step: 237, loss: 6.9061
2020-05-11 14:07:59,388:INFO:step: 238, loss: 7.5657
2020-05-11 14:08:08,507:INFO:step: 239, loss: 7.0208
2020-05-11 14:08:17,620:INFO:step: 240, loss: 7.1437
2020-05-11 14:08:26,626:INFO:step: 241, loss: 7.0221
2020-05-11 14:08:35,629:INFO:step: 242, loss: 6.8736
2020-05-11 14:08:44,907:INFO:step: 243, loss: 7.0778
2020-05-11 14:08:54,131:INFO:step: 244, loss: 6.7784
2020-05-11 14:09:03,502:INFO:step: 245, loss: 6.9813
2020-05-11 14:09:12,603:INFO:step: 246, loss: 7.1523
2020-05-11 14:09:21,760:INFO:step: 247, loss: 7.4886
2020-05-11 14:09:30,671:INFO:step: 248, loss: 6.8039
2020-05-11 14:09:40,225:INFO:step: 249, loss: 6.7598
2020-05-11 14:09:49,023:INFO:step: 250, loss: 6.7431
2020-05-11 14:09:57,583:INFO:step: 251, loss: 7.4369
2020-05-11 14:10:06,221:INFO:step: 252, loss: 6.9866
2020-05-11 14:10:14,985:INFO:step: 253, loss: 7.1307
2020-05-11 14:10:24,623:INFO:step: 254, loss: 6.7018
2020-05-11 14:10:33,585:INFO:step: 255, loss: 6.8776
2020-05-11 14:10:42,509:INFO:step: 256, loss: 7.4351
2020-05-11 14:10:51,403:INFO:step: 257, loss: 7.4373
2020-05-11 14:11:00,067:INFO:step: 258, loss: 6.6440
2020-05-11 14:11:08,883:INFO:step: 259, loss: 7.2931
2020-05-11 14:11:17,631:INFO:step: 260, loss: 7.3387
2020-05-11 14:11:26,341:INFO:step: 261, loss: 7.3953
2020-05-11 14:11:35,036:INFO:step: 262, loss: 6.7215
2020-05-11 14:11:43,652:INFO:step: 263, loss: 7.0716
2020-05-11 14:11:52,327:INFO:step: 264, loss: 6.6080
